Region,MonthDate,HPIndex
North,30/04/1985,58.2398
North,31/07/1985,58.8086
North,31/10/1985,60.0518
North,31/01/1986,59.8319
North,30/04/1986,61.8469
North,31/07/1986,59.642
North,31/10/1986,62.791
North,31/01/1987,63.9808
North,30/04/1987,64.1079
North,31/07/1987,64.2852
North,31/10/1987,62.1908
North,31/01/1988,62.8583
North,30/04/1988,63.6467
North,31/07/1988,67.2415
North,31/10/1988,73.3222
North,31/01/1989,82.1922
North,30/04/1989,91.1844
North,31/07/1989,93.7824
North,31/10/1989,102.9987
North,31/01/1990,97.3126
North,30/04/1990,97.6367
North,31/07/1990,101.8187
North,31/10/1990,103.5014
North,31/01/1991,103.9007
North,30/04/1991,105.5284
North,31/07/1991,105.0269
North,31/10/1991,105.7458
North,31/01/1992,103.7067
North,30/04/1992,102.1464
North,31/07/1992,100.4362
North,31/10/1992,95.1048
North,31/01/1993,100.9563
North,30/04/1993,101.5739
North,31/07/1993,100.3051
North,31/10/1993,101.3625
North,31/01/1994,97.9028
North,30/04/1994,94.9951
North,31/07/1994,95.4756
North,31/10/1994,91.4158
North,31/01/1995,101.0208
North,30/04/1995,96.7574
North,31/07/1995,93.622
North,31/10/1995,94.1016
North,31/01/1996,95.7123
North,30/04/1996,97.5013
North,31/07/1996,96.6584
North,31/10/1996,99.4253
North,31/01/1997,99.4356
North,30/04/1997,98.626
North,31/07/1997,103.2568
North,31/10/1997,103.8601
North,31/01/1998,104.802
North,30/04/1998,106.7504
North,31/07/1998,107.533
North,31/10/1998,106.1343
North,31/01/1999,107.5055
North,30/04/1999,108.596
North,31/07/1999,111.1531
North,31/10/1999,111.942
North,31/01/2000,112.6048
North,30/04/2000,115.8304
North,31/07/2000,114.6982
North,31/10/2000,117.2957
North,31/01/2001,121.6961
North,30/04/2001,116.8142
North,31/07/2001,129.849
North,31/10/2001,130.7793
North,31/01/2002,131.9395
North,30/04/2002,142.7653
North,31/07/2002,154.0042
North,31/10/2002,166.6881
North,31/01/2003,179.6171
North,30/04/2003,188.8845
North,31/07/2003,202.6495
North,31/10/2003,217.4383
North,31/01/2004,238.7182
North,30/04/2004,251.1969
North,31/07/2004,263.6625
North,31/10/2004,267.3717
North,31/01/2005,270.3724
North,30/04/2005,271.7887
North,31/07/2005,270.9045
North,31/10/2005,261.6917
North,31/01/2006,271.7211
North,30/04/2006,274.3587
North,31/07/2006,273.5788
North,31/10/2006,283.5016
North,31/01/2007,285.0545
North,30/04/2007,291.3597
North,31/07/2007,293.8429
North,31/10/2007,292.7677
North,31/01/2008,292.3685
North,30/04/2008,280.8187
North,31/07/2008,268.879
North,31/10/2008,259.9016
North,31/01/2009,249.9925
North,30/04/2009,243.3661
North,31/07/2009,253.5538
North,31/10/2009,254.336
North,31/01/2010,256.0501
North,30/04/2010,257.9937
North,31/07/2010,255.766
North,31/10/2010,256.0821
North,31/01/2011,252.2567
North,30/04/2011,255.0588
North,31/07/2011,254.1935
North,31/10/2011,254.0866
North,31/01/2012,254.0149
North,30/04/2012,248.9885
North,31/07/2012,254.181
North,31/10/2012,251.512
North,31/01/2013,249.1076
North,30/04/2013,251.1364
North,31/07/2013,255.0016
North,31/10/2013,256.5273
North,31/01/2014,263.1023
North,30/04/2014,271.7695
North,31/07/2014,266.3804
North,31/10/2014,267.7659
North,31/01/2015,274.63
North,30/04/2015,272.2789
North,31/07/2015,272.0217
North,31/10/2015,273.5046
North,31/01/2016,270.8553
North,30/04/2016,269.7769
North,31/07/2016,272.027
North,31/10/2016,273.4206
